Approved symbol	Previous symbols	Pubmed IDs	Synonyms
A1BG		2591067	
A1BG-AS1	NCRNA00181, A1BGAS, A1BG-AS		FLJ23569
A1CF		11815617, 11072063	ACF, ASP, ACF64, ACF65, APOBEC1CF
A2M		2408344, 9697696	FWP007, S863-7, CPAMD5
A2M-AS1			
A2ML1	CPAMD9	16298998	FLJ25179, p170
A2ML1-AS1			
A2ML1-AS2			
A2MP1	A2MP	2478422	
A3GALT2	A3GALT2P	10854427, 18630988	IGBS3S, IGB3S
A4GALT	P1	10854428, 20971946	A14GALT, Gb3S, P(k)
A4GNT		10430883	alpha4GnT
AAAS		11062474, 12196509	
AACS		12623130, 17762044	FLJ12389, SUR-5, ACSF1
AACSP1	AACSL		
AADAC		8063807	DAC, CES5A1
AADACL2		25715734	MGC72001
AADACL2-AS1			
AADACL3			OTTHUMG00000001887
AADACL4			OTTHUMG00000001889
AADACP1			
AADAT		12126930, 10441733, 18056995	KATII, KAT2, KYAT2
AAGAB		11230166, 10477754	FLJ11506, p34
AAK1		11877461, 12471243	KIAA1048, DKFZp686K16132
AAMDC	C11orf67	22279136	PTD015, FLJ21035, CK067
AAMP		7743515	
AANAT		8661026	SNAT
AAR2	C20orf4	26527271	bA234K24.2
AARD	C8orf85	27959439	LOC441376
AARS		8595897	CMT2N, AlaRS
AARS2	AARSL	15779907, 21549344	KIAA1270, bA444E17.1
AARSD1		26884463	MGC2744
AARSP1			
AASDH		15865210, 12712191, 17762044	NRPS998, LYS2, ACSF4
AASDHPPT		12815048, 11286508, 18022563	LYS5, CGI-80, AASD-PPT, ACPS
AASS		10775527	LORSDH, LKRSDH
AATBC		25473900	
AATF		11027528, 10783144	DED, CHE-1, CHE1, BFR2
AATK		9734811, 10083745, 22573681	AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77
AAVS1		1334463	AAV
ABALON			INXS
ABAT		7721088	GABAT
ABCA1	ABC1, HDLDT1	8088782, 10431236, 10431237, 10431238	TGD
ABCA2	ABC2	8088782	
ABCA3	ABC3	8706931	ABC-C, EST111653, LBM180
ABCA4	STGD1, ABCR, RP19, STGD	9490294	FFM, ARMD2, CORD3
ABCA5		8894702	EST90625
ABCA6		8894702	EST155051
ABCA7			ABCX
ABCA8			KIAA0822
ABCA9			EST640918
ABCA9-AS1			
ABCA10		12821155, 11435397	EST698739
ABCA11P	ABCA11		EST1133530, FLJ14297
ABCA12	ICR2B	11435397, 12915478, 8845852, 10094194	DKFZP434G232, LI2
ABCA13		12697998	FLJ33876, FLJ33951
ABCA17P		16968533	
ABCB1	PGY1, MDR1, CLCS	3027054	P-gp, CD243, GP170, ABC20
ABCB4	PGY3, MDR3	2892668, 11313316	MDR2, PFIC-3, GBD1
ABCB5		8894702, 12960149	EST422562, ABCB5beta, ABCB5alpha
ABCB6		8894702, 9110174	EST45597, umat, MTABC3
ABCB7	ABC7	9143506	EST140535, Atm1p, ASAT
ABCB8		8894702	EST328128, M-ABC1, MABC1
ABCB9		8894702	EST122234
ABCB10		7766993	EST20237, M-ABC2, MTABC2
ABCB10P1	ABCB10P, ABCB10P2	7766993, 10922475	M-ABC2, MABC2
ABCB10P3			
ABCB10P4			
ABCB11	BSEP, PFIC2	9806540	ABC16, SPGP, PFIC-2, PGY4
ABCC1	MRP, MRP1	8098549, 1360704	GS-X
ABCC2	CMOAT	8797578, 9284939	DJS, MRP2, cMRP
ABCC3		8894702, 9827529	MRP3, cMOAT2, EST90757, MLP2, MOAT-D
ABCC4		8894702, 9661885	MRP4, EST170205, MOAT-B, MOATB
ABCC5		8894702, 9827529	MRP5, SMRP, EST277145, MOAT-C
ABCC5-AS1			
ABCC6	ARA, PXE	9721217, 11439001	MRP6, EST349056, MLP1, URG7
ABCC6P1		18405356, 22873774	
ABCC6P2		22873774	
ABCC8	SUR, HRINS	7920639, 7716548	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2
ABCC9		9457174, 15034580	SUR2, CMD1O
ABCC10		8894702	EST182763, MRP7, SIMRP7
ABCC11		11483364, 11435397	MRP8
ABCC12		11435397, 11483364	MRP9
ABCC13		12445816, 15203202	PRED6, C21orf73, ABCC13P
ABCD1	ALD	8441467, 6795626	AMN, ALDP, adrenoleukodystrophy
ABCD1P1		8829626, 9215666	
ABCD1P2		9215666	bA453N3.6
ABCD1P3		9215666	
ABCD1P4		9215666, 10591208	
ABCD1P5			
ABCD2	ALDL1	8577752	ALDR, ALDRP
ABCD3	PXMP1	1301993, 8449508	PMP70, ZWS2
ABCD4	PXMP1L	9266848, 9302272	PMP69, P70R, EST352188
ABCE1	RNASEL1, RNASELI, RNS4I	7539425	RLI, OABP, RLI1
ABCF1	ABC50	9790762	EST123147
