Some_Gene_Alias SomeGene
ABCD1	AMN
ACKR2	CCR10
ALPK3	MAK
ANAPC2	APC2
AQP7	AQP9
ARID4A	RBP1
ART4	DOK1
ARTN	NBN
BANF1P1	BCRP1
BHLHE40	DEC1
BTN3A3	BTF3
CADPS	CAPS
CARD16	COP1
CASP14	MICE
CELSR1	ME2
CHAMP1	CAMP
CHEK2	CDS1
CHORDC1	CHP1
CNOT6	CCR4
CNOT9	RCD1
CNTN1	F3
COG6	COD2
CPPED1	CSTP1
CSAD	PCAP
CSNK2A2	CSNK2A1
CSTB	CST6
CYP2A6	CPA6
DANCR	ANCR
DCAF5	BCRP2
DCBLD2	CLCP1
DEFA1A3	DEFA1
DFFB	CAD
DHX8	HRH1
DHX15	HRH2
DIDO1	DIO1
DLC1	HP
DLEC1	DLC1
DMTF1	DMP1
DNPEP	DAP
DPAGT1	GPT
ECEL1	XCE
EPX	EPO
ERC2	CAST
ERCC2	MAG
ERCC4	RAD1
EZH2	EZH1
FA2H	FAAH
FASN	FAS
FHIT	FRA3B
FZD9	FZD3
GALNT15	GALNT7
GALNTL6	GALNT17
GC	DBP
GDNF	ATF1
GPNMB	NMB
GPRIN1	GRIN1
HCRT	PPOX
HID1	DMC1
HOMER2	CPD
HSD17B7P2	HSD17B7
HTR1B	S12
IL1RL1	ST2
INSL3	RLF
ITM2C	BRI3
KCTD11	REN
KIF20B	MPP1
KLHL7	KLHL6
KLRG1	MAFA
LINC00598	TTL
LNX1	MPDZ
LRIF1	RIF1
LRP12	ST7
MAGI1	BAP1
MAP4K2	GCK
MAPRE2	RP1
MBD1	PCM1
MOGAT2	MGAT2
MRPL36	BRIP1
MRPS12	RPS12
MRPS35	MRPS28
MYCBP2	PAM
MYO1E	MYO1C
MYT1	MTF1
NANOS1	NOS1
NANOS2	NOS2
NCOA3	RAC3
NDRG1	DRG1
NFE2L1	NRF1
NOL3	ARC
NRG1	HRG
PCDHA4	CNR1
PCDHA6	CNR2
PKMYT1	MYT1
POLK	POLQ
PPP3CA	CNA1
PRDX3	MER5
PRG2	MBP
PRKD2	PKD2
PSMD7	S12
PTPRU	PTPRO
RAB43	RAB41
RDH14	PAN2
RNASE6	RAD1
RNASE10	RNASE9
RNF7	SAG
RPL15	RPL10
RPS7	S7
SEL1L	IBD2
SERPINA2	ATR
SF3B3	SAP130
SGPP2	SPP2
SLC25A15	ORC1
SLC25A16	GDA
SLC25A21	ODC1
SLC38A2	SAT2
SMIM29	LBH
SOS1	HGF
SP6	KLF14
SPATS1	SPATA8
SPPL2A	IMP3
SPPL2B	IMP4
SRMS	SRM
STK4	MST1
TACR1	SPR
TADA2A	ADA2
TENT4A	POLK
THPO	TPO
TMPRSS4	TMPRSS3
TNIP1	NAF1
TNNI3	TNNC1
TNPO1	MIP
TRAV1-1	TRAV11
TSEN2	SEN2
WRB	CHD5
WWTR1	TAZ
ZNF106	ZNF474
